,site_code,Taxon,mean.after.control.0,mean.after.drought.0,mean.before.control.0,mean.before.drought.0,drought.after.before,control.after.before,cover.change
214,brokenh.au,TRIPOGON LOLIIFORMIS,1,0,0,0,0,1,-1
215,brookdale.ca,ACHILLEA MILLEFOLIUM,1,1.5,5,5,-3.5,-4,0.5
216,brookdale.ca,AGASTACHE FOENICULUM,0,1.5,0,8.333333333,-6.833333333,0,-6.833333333
217,brookdale.ca,ALLIUM CERNUUM,1,0,5,0,0,-4,4
218,brookdale.ca,ANDROPOGON GERARDII,2.875,2.611111111,19.83333333,9,-6.388888889,-16.95833333,10.56944445
219,brookdale.ca,ANEMONASTRUM CANADENSE,2,2.4375,6.944444444,9.166666667,-6.729166667,-4.944444444,-1.784722222
220,brookdale.ca,ARTEMISIA LUDOVICIANA,1.25,1.95,12,9.166666667,-7.216666667,-10.75,3.533333333
221,brookdale.ca,BROMUS INERMIS,3.1,3.65,9.666666667,11.25,-7.6,-6.566666667,-1.033333333
222,brookdale.ca,CIRSIUM ARVENSE,1.9,2.133333333,17.66666667,17.5,-15.36666667,-15.76666667,0.399999999
223,brookdale.ca,COMANDRA UMBELLATA,1,0,0,0,0,1,-1
224,brookdale.ca,CYPRIPEDIUM PARVIFLORUM,1.25,1,5,5,-4,-3.75,-0.25
225,brookdale.ca,ELYMUS REPENS,0,1,0,0,1,0,1
226,brookdale.ca,GALIUM BOREALE,1.283333333,1.333333333,6.5,6.5,-5.166666667,-5.216666667,0.05
227,brookdale.ca,GLYCYRRHIZA LEPIDOTA,4.35,3.75,25.16666667,18.5,-14.75,-20.81666667,6.066666666
228,brookdale.ca,HELIANTHUS PAUCIFLORUS,1.083333333,1.25,0,0,1.25,1.083333333,0.166666667
229,brookdale.ca,HELIOPSIS HELIANTHOIDES,0,2,16.875,11,-9,-16.875,7.875
230,brookdale.ca,HEUCHERA RICHARDSONII,1,0,0,0,0,1,-1
231,brookdale.ca,LATHYRUS OCHROLEUCUS,2.5,2.083333333,0,0,2.083333333,2.5,-0.416666667
232,brookdale.ca,LIATRIS LIGULISTYLIS,1,1,0,0,1,1,0
233,brookdale.ca,LITHOSPERMUM CANESCENS,1,1.666666667,0,0,1.666666667,1,0.666666667
234,brookdale.ca,POA PRATENSIS,6.55,6.25,66,61,-54.75,-59.45,4.7
235,brookdale.ca,POPULUS BALSAMIFERA,1,0,0,0,0,1,-1
236,brookdale.ca,ROSA ACICULARIS,1.516666667,1.566666667,8.666666667,8.5,-6.933333333,-7.15,0.216666667
237,brookdale.ca,SOLIDAGO CANADENSIS,2.4,2.9,27,30,-27.1,-24.6,-2.5
238,brookdale.ca,SOLIDAGO RIGIDA,2.5,1.5,5,5,-3.5,-2.5,-1
239,brookdale.ca,SONCHUS ARVENSIS,1.55,1.95,0,0,1.95,1.55,0.4
240,brookdale.ca,STIPA CURTISETA,0,1.083333333,0,0,1.083333333,0,1.083333333
241,brookdale.ca,SYMPHORICARPOS ALBUS,2.55,1.85,0,0,1.85,2.55,-0.7
242,brookdale.ca,SYMPHYOTRICHUM ERICOIDES,4,1.25,0,0,1.25,4,-2.75
243,brookdale.ca,SYMPHYOTRICHUM LAEVE,0,2.666666667,0,0,2.666666667,0,2.666666667
244,brookdale.ca,THALICTRUM VENULOSUM,1,1.75,5,6.666666667,-4.916666667,-4,-0.916666667
245,brookdale.ca,VICIA AMERICANA,1,1,5,5,-4,-4,0
246,brookdale.ca,VIOLA ADUNCA,1,1,0,0,1,1,0
247,brookdale.ca,ZIZIA APTERA,2,1,5,5,-4,-3,-1
248,capmcd.us,ACMISPON MARITIMUS,0.5,0,0,0,0,0.5,-0.5
249,capmcd.us,AMSINCKIA TESSELLATA,0,3,0,0,3,0,3
250,capmcd.us,ASTRAGALUS NUTTALLIANUS,1,0.75,0,0,0.75,1,-0.25
251,capmcd.us,BROMUS RUBENS,0.5,0.5,0,0,0.5,0.5,0
252,capmcd.us,CHAENACTIS STEVIOIDES,1,0.5,0,0,0.5,1,-0.5
253,capmcd.us,CRYPTANTHA PTEROCARYA,0,0.5,0,0,0.5,0,0.5
254,capmcd.us,DICHELOSTEMMA CAPITATUM,0.5,0.5,0.5,0.5,0,0,0
255,capmcd.us,ENCELIA FARINOSA,0,0.5,0,0,0.5,0,0.5
256,capmcd.us,ERODIUM TEXANUM,1,0.5,0.5,0,0.5,0.5,0
257,capmcd.us,EUPHORBIA POLYCARPA,2.75,1.5,0,0,1.5,2.75,-1.25
258,capmcd.us,LOGFIA ARIZONICA,0.5,0,0,0.5,-0.5,0.5,-1
259,capmcd.us,OTTLEYA STRIGOSA,0.5,1,0,0,1,0.5,0.5
260,capmcd.us,PECTOCARYA HETEROCARPA,0.5,0,0,0,0,0.5,-0.5
261,capmcd.us,PECTOCARYA RECURVATA,5.214285714,2.857142857,0.5,0.5,2.357142857,4.714285714,-2.357142857
262,capmcd.us,PHYSARIA GORDONII,0.5,0,0.5,0,0,0,0
263,capmcd.us,PLANTAGO OVATA,8.714285714,23.71428571,0.583333333,1,22.71428571,8.130952381,14.58333333
264,capmcd.us,PLANTAGO PATAGONICA,0.75,4,0.5,0.5,3.5,0.25,3.25
265,capmcd.us,SCHISMUS ARABICUS,33.85714286,25.14285714,71.42857143,70.28571429,-45.14285714,-37.57142857,-7.571428571
266,capwhite.us,ACMISPON MARITIMUS,1.25,0.875,0,0,0.875,1.25,-0.375
267,capwhite.us,ASTRAGALUS NUTTALLIANUS,0.5,0.75,0,0.5,0.25,0.5,-0.25
268,capwhite.us,CHAENACTIS STEVIOIDES,0.5,0,0,0,0,0.5,-0.5
269,capwhite.us,CHORIZANTHE BREVICORNU,0.5,0.5,0,0,0.5,0.5,0
270,capwhite.us,CRASSULA CONNATA,0.5,0,0,0,0,0.5,-0.5
271,capwhite.us,LOGFIA ARIZONICA,0.928571429,4.7,2.428571429,0.833333333,3.866666667,-1.5,5.366666667
272,capwhite.us,LUPINUS SPARSIFLORUS,1.5,0,0,0,0,1.5,-1.5
273,capwhite.us,MONOPTILON BELLIOIDES,0.5,0.5,0,0,0.5,0.5,0
274,capwhite.us,OTTLEYA STRIGOSA,0.5,0.6,0.5,0,0.6,0,0.6
