Taxon,leafN.mg.g,height.m,rootN.mg.g,SLA_m2/kg,root.depth_m,RTD.g.cm3,SRL_m/g,rootDiam.mm,Notes,Notes.2,site_name,Family,local_lifeform,local_lifespan,functional_group,,,,
GERANIUM DISSECTUM,19.13,0.151,,17.86,0.45,0.382010582,207.6012196,0.122766667,"leafN, height, SLA from PI","thick from Justin, RTD, SRL, Diam from groot","Jena, SantaCruzHigh, SantaCruzLow, SantaCruzMiddle",Geraniaceae,FORB,ANNUAL,FORB,,,,
GERANIUM MOLLE,24,0.296666667,,23.20870159,0.53,0.329104478,289.9024475,0.112466667,"RTD, SLR, Diam from groot",,Cowichan Drt,Geraniaceae,FORB,NULL,FORB,,,,
GERANIUM PUSILLUM,17.47,0.151,,26.42,0.59,0.417391304,192.0238007,0.1212,"leafN, height, SLA from PI","RTD, SLR, Diam from groot",Jena,Geraniaceae,FORB,NULL,FORB,,,,
GERANIUM THUNBERGII,20.22039,0.709,,27.52,,,,,,,Teshio Experimental Grassland,Geraniaceae,FORB,PERENNIAL,FORB,,,,
GEUM CANADENSE,11.97,0.77936,,20.2434208,0.1016,,,,,,ESW,Rosaceae,FORB,PERENNIAL,FORB,,,leafN from Craine et al. 2012 Plant Soil,
GEUM TRIFLORUM,14.28333333,0.4572,7.011111111,10.7349,0.1524,,,,,,Kinsella,Rosaceae,FORB,PERENNIAL,FORB,,,leafN from Craine et al. 2012 Plant Soil,
GLADIOLUS ILLYRICUS,,0.4,,12,,,,,,,Ayora Experimental Station,Iridaceae,FORB,ANNUAL,FORB,,,height from Carmona et al. 2021 Sci Adv,
GLECHOMA HEDERACEA,13.09,0.072,15.84806833,21.32,0.14,0.104315255,419.5272801,0.213838095,"leafN, height, SLA from PI","RootC and N, RTD, SLR, Diam from groot",Jena,Lamiaceae,FORB,PERENNIAL,FORB,,,,
GLOBULARIA VULGARIS,,0.2,,6.892,,,,,,,"Allmend Brachy, Allmend Ovina",Plantaginaceae,FORB,PERENNIAL,FORB,,,,
GLYCYRRHIZA LEPIDOTA,38.83,1.2192,,15.04672897,0.3048,,,,,,Brookdale,Fabaceae,LEGUME,PERENNIAL,LEGUME,,,"leafN, SLA from Carmona et al. 2021 Sci Adv",
GNAPHALIUM SUPINUM,22.46381487,0.0658,28.1,27.00300375,,,307.39,0.29,SRL from groot,,Passo Gavia,Compositae,FORB,PERENNIAL,FORB,,,height from Carmona et al. 2021 Sci Adv,
GNEPHOSIS DRUMMONDII,,0.05,,,,,,,,,Jilpanger,Compositae,FORB,ANNUAL,FORB,,,,
GOODENIA BLACKIANA,,0.2,,9.626935,,,,,,,Jilpanger,Goodeniaceae,FORB,PERENNIAL,FORB,,,,
GOODENIA CYCLOPTERA,,0.14,,8.635442029,,,,,,,"Ethabuka_DNB, Broken Hill, Charleville, Cobar, Quilpie",Goodeniaceae,FORB,NULL,FORB,,,,
GOODENIA MIMULOIDES,,0.4,,,,,,,,,"CredoJ, CredoM",Goodeniaceae,FORB,ANNUAL,FORB,,,,
GOUINIA PARAGUAYENSIS,23.1,0.47,,19.71,,,,,,,Los Cerrillos,Poaceae,GRASS,PERENNIAL,GRASS,,,,
GRADERIA SCABRA,,,,,,,,,,,Ukulinga Drought,Scrophulariaceae,FORB,PERENNIAL,WOODY,,,,
GRAYIA SPINOSA,17,0.9144,,,0.508,,,,,,NNSS_Mojave,Amaranthaceae,SHRUB,PERENNIAL,WOODY,,,"leafN Vergutz, L., S. Manzoni, A. Porporato, R.F. Novais, and R.B. Jackson. 2012. A Global Database of Carbon and Nutrient Concentrations of Green and Senesced Leaves. Data set. Available on-line [http://daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A. http://dx.doi.org/10.3334/ORNLDAAC/1106",
GREVILLEA AUSTRALIS,,2,,4.896896,,,,,,,Falls Creek,Proteaceae,SHRUB,PERENNIAL,WOODY,,,,
GUTIERREZIA SAROTHRAE,18.68,0.23,12.4,9.393567894,0.4064,0.225,82.1343,0.2661,,"RootC and N, RTD, SLR, Diam from groot","JRN_Chihuahuan, North Platte, Sevilleta_Black, Sevilleta_Mixed",Compositae,SHRUB,PERENNIAL,FORB,,,,
GYMNADENIA CONOPSEA,28.85621237,0.45,,19.92759166,0.07,,,,,,Pineta,Orchidaceae,FORB,NULL,FORB,,,,
GYPSOPHILA PANICULATA,,0.85,,23.53705566,,,,,,,Kiskunsag,Caryophyllaceae,FORB,PERENNIAL,FORB,,,,
GYPSOPHILA REPENS,12.7,0.14,,15.67666667,,,,,,,Allmend Ovina,Caryophyllaceae,FORB,PERENNIAL,FORB,,,,
GYPSOPHILA STRUTHIUM,16.70948548,0.6,,4.877171445,,,,,,,"Ciempozuelos, Middle Ebro Valley",Caryophyllaceae,SHRUB,NULL,WOODY,,,,
HEDEOMA ACINOIDES,,,,,,,,,,,BFL,Lamiaceae,FORB,ANNUAL,FORB,,,,
HEDEOMA HISPIDA,15.5,0.14225,,21.38832049,,0.15,166,0.22,"RTD, SLR, Diam from groot",,Oklahoma (KAEFS-OK),Lamiaceae,FORB,ANNUAL,FORB,,,leafN from Craine et al. 2012 Plant Soil,
HELENIUM AMARUM,,,,,,,,,,,"BFL, SLP",Compositae,FORB,ANNUAL,FORB,,,,
HELIANTHEMUM APENNINUM,22.11,0.138734375,9.865,13.4,0.31,0.15028831,59.38651,0.338844725,"RootC and N, RTD, SRL, Diam from groot",,Ayora Experimental Station,Cistaceae,SUBSHRUB,PERENNIAL,WOODY,,,height from Carmona et al. 2021 Sci Adv,
HELIANTHEMUM BICKNELLII,16.81547619,0.4375,,,,,,,,,Cedar Creek Savanna,Cistaceae,FORB,PERENNIAL,FORB,,,leafN from Carmona et al. 2021 Sci Adv,
HELIANTHEMUM CINEREUM,13.24715,0.053,,6.31,,,,,,,Ayora Experimental Station,Cistaceae,SUBSHRUB,PERENNIAL,WOODY,,,,
HELIANTHEMUM LAVANDULIFOLIUM,,0.2,,,,,,,,,Middle Ebro Valley,Cistaceae,SHRUB,NULL,WOODY,,,height from Carmona et al. 2021 Sci Adv,
HELIANTHEMUM MARIFOLIUM,,0.3,,7.659559676,0.28,,,,,,Middle Ebro Valley,Cistaceae,SHRUB,NULL,WOODY,,,,
HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM,17.1,0.179312323,6.27,14.70769,1.63,0.1910333,180,1.555,RootN from groot,,"Allmend Brachy, Allmend Ovina",Cistaceae,SHRUB,PERENNIAL,WOODY,,,height from Carmona et al. 2021 Sci Adv,
HELIANTHEMUM SQUAMATUM,13.91070827,0.2,,5.358237548,0.65,,,,,,"Ciempozuelos, Middle Ebro Valley",Cistaceae,SUBSHRUB,NULL,WOODY,,,,
HELIANTHUS ANNUUS,18,2.847733333,27.3,18.91505647,0.2032,0.086907021,191.3969043,0.945853228,"RootN, RTD, SLR, Diam from groot",,"Cedar Point - Drought-Net, Konza Drt",Compositae,FORB,ANNUAL,FORB,,,,
HELIANTHUS PAUCIFLORUS,11.69,0.39,,9.153001144,1.27,0.19,52,0.36,"RTD, SLR, depth, diam from groot",,"Brookdale, Konza Drt",Compositae,NULL,NULL,FORB,,,leafN from Craine et al. 2012 Plant Soil,
HELICHRYSUM NUDIFOLIUM,,,,,,,,,,,Ukulinga Drought,Compositae,FORB,PERENNIAL,FORB,,,,
HELICHRYSUM STOECHAS,15.1,0.4,,14.05029913,0.52,0.652701216,6.114890701,0.49195,"RTD, SLR, Diam from groot",,Middle Ebro Valley,Compositae,SHRUB,NULL,WOODY,,,,
HELICTOTRICHON FILIFOLIUM,,0.4,,,,,,,,,Ayora Experimental Station,Poaceae,GRASS,PERENNIAL,GRASS,,,height from Carmona et al. Sci Adv,
HELICTOTRICHON HOOKERI,,,,19.08259351,0.9,,,,,,"Biddulph, Kernen_burned, Kernen_unburned, Kinsella",Poaceae,GRAMINOID,PERENNIAL,GRASS,,,SLA from Carmona et al. Sci Adv,
HELICTOTRICHON PRATENSE,16.4,0.816666667,,14.06030769,0.79,0.669747899,85.98480816,0.1543,"RTD, SLR, Diam from groot",,"Allmend Brachy, Allmend Ovina",Poaceae,GRASS,PERENNIAL,GRASS,,,,
HELICTOTRICHON PUBESCENS,24.3,0.680625,7.892636683,18.69463141,0.3,0.090296815,62.86954053,0.161264502,"RootC  and N, RTD, SLR, Diam, depth from groot",,"EE Elva, La Campana North Facing, La Campana South Facing, Quebrada de Talca North Facing, Quebrada de Talca South Facing",Poaceae,GRASS,PERENNIAL,GRASS,,,,
HELICTOTRICHON VERSICOLOR,18.88884001,0.14,6.081157261,11.48996431,,,77.65999999,,"RootC and N, SRL from groot",,Passo Gavia,Poaceae,GRASS,PERENNIAL,GRASS,,,,
HELIOPSIS HELIANTHOIDES,13.384,1.2745,,19.34129566,,0.155412644,61.30678286,0.38123125,"RTD, SLR, Diam from groot",,"Brookdale, Purdue Wildlife Area",Compositae,FORB,PERENNIAL,FORB,,,leafN Komastu et al. 2023 EDI,
HEPATICA NOBILIS,24,0.133014446,,27.165,,,,,,,Pineta,Ranunculaceae,FORB,NULL,FORB,,,height from Carmona et al. 2021 Sci Adv,
HERNIARIA FRUTICOSA,,0.05,,,0.62,,,,,,Middle Ebro Valley,Caryophyllaceae,SHRUB,NULL,WOODY,,,height from Carmona et al. 2021 Sci Adv,
HESPEROSTIPA COMATA,12.21666667,0.224,6.55,5.904809091,1.353302,0.3762,35.19975,0.38,RTD from Butterfield et al. 2017 Plant Ecol,,"Cedar Point - Drought-Net, Matador, Mattheis, North Platte",Poaceae,GRASS,PERENNIAL,GRASS,,,,
HETEROPOGON CONTORTUS,11.22375,0.21336,4.15,9.881422925,0.254,0.371,16.75282186,0.25,"RTD, SLR from groot",,"BFL, Ukulinga Drought",Poaceae,GRASS,PERENNIAL,GRASS,,,,
HETEROTHECA SUBAXILLARIS,,1.8,,59.2,,,,,,,"Oklahoma (KAEFS-OK), SLP",Compositae,FORB,PERENNIAL,FORB,,,,
HETEROTHECA VILLOSA,23.73333333,0.242222222,12.65,16.53696,3.186667,0.252040816,52.697725,0.2195,"RootC and N, RTD, SLR, Diam from groot, Leaf N, height, SLA from Julie Larson",,"Biddulph, Cedar Point - Drought-Net, Mattheis",Compositae,FORB,PERENNIAL,FORB,,,,
HEUCHERA RICHARDSONII,,0.28,,9.880022444,,0.35,91.23542858,0.2062,"RTD, SLR, Diam from groot",,"Brookdale, Kernen_burned",Saxifragaceae,FORB,PERENNIAL,FORB,,,,
HIBISCUS AETHIOPICUS,,,,,,,,,,,Ukulinga Drought,Malvaceae,FORB,PERENNIAL,FORB,,,,
HIERACIUM PILIFERUM,,0.035,,,,,,,,,Passo Gavia,Compositae,FORB,PERENNIAL,FORB,,,,
HIERACIUM PILOSELLA,23.22,,7.224859855,18.62857,0.47,0.212738048,100.7034183,0.365217075,"RootC and N, RTD, SLR, Diam from groot",,Bayreuth_DroughtNet,Compositae,FORB,PERENNIAL,FORB,,,,
HILARIA JAMESII,21.68723958,0.6096,7.6,13.95707872,0.3048,,140.9228,0.056,,RootN from groot,"Antelope, Sevilleta_Mixed",Poaceae,GRAMINOID,PERENNIAL,GRASS,,,,
HIPPOCREPIS COMOSA,29,0.231666667,,15.26545455,1.003333,,,,,,"Allmend Brachy, Allmend Ovina",Fabaceae,FORB,PERENNIAL,LEGUME,,,,
HOFFMANNSEGGIA DREPANOCARPA,,,,16.00833991,,,12.54713,0.286,,,"Sevilleta_Black, Sevilleta_Mixed",Fabaceae,LEGUME,PERENNIAL,LEGUME,,,,
HOFFMANNSEGGIA TRIFOLIATA,,,,,,,,,,,"Chacra Experimental Patagones, San Pablo Valdes Drt",Fabaceae,LEGUME,PERENNIAL,LEGUME,,,,
HOLCUS LANATUS,24.56210683,0.554013615,9.716666667,33.50183772,0.1016,0.210999112,311.996707,0.116666667,"RTD, SRL from groot",,"Bayreuth_DroughtNet, Rhijnauwen, SantaCruzHigh",Poaceae,GRASS,PERENNIAL,GRASS,,,,
HOLOSTEUM UMBELLATUM,,0.161666667,,35.26333333,0.24,,,,,,"ESW, Kiskunsag",Caryophyllaceae,FORB,ANNUAL,FORB,,,,
HORDEUM MURINUM,31.1,0.405416667,,28.1259188,0.1,,204.9930273,0.217582152,"Depth, SRL, diam from groot",,"Cobar, San Pablo Valdes Drt",Poaceae,GRASS,ANNUAL,GRASS,,,,
HORDEUM PUSILLUM,26.18,0.36576,,32.4,0.2032,0.278984039,157.1579379,0.1830875,"RTD, SRL, diam from groot",,Mar Chiquita Drt,Poaceae,GRASS,ANNUAL,GRASS,,,leafN from Craine et al. 2012 Plant Soil,
HYALOSPERMA DEMISSUM,,0.03518491,,38.104966,,,,,,,Jilpanger,Compositae,FORB,ANNUAL,FORB,,,,
HYDROCOTYLE BONARIENSIS,,,,27.35005333,,,,,,,"Las Chilcas Drt, Mar Chiquita Drt",Araliaceae,FORB,PERENNIAL,FORB,,,,
HYDROCOTYLE FOVEOLATA,,0.13,,40.950606,,,,,,,Jilpanger,Araliaceae,FORB,ANNUAL,FORB,,,,
HYDROCOTYLE SETULOSA,,,,,,,,,,,Jilpanger,Araliaceae,FORB,PERENNIAL,FORB,,,,
HYLOCOMIUM SPLENDENS,8,0.05,,,0.05,,,,,,"Lygra_intermediate, Lygra_old",Hylocomiaceae,MOSS,NULL,BRYOPHYTE,,,,
HYPARRHENIA DREGEANA,,,,,,,,,,,Ukulinga Drought,Poaceae,GRASS,PERENNIAL,GRASS,,,,
HYPERICUM DRUMMONDII,,,,,,,,,,,"BFL, SLP",Hypericaceae,FORB,ANNUAL,FORB,,,,
HYPERICUM PERFORATUM,26.074,0.544316667,4.659107143,26.51128282,0.08909,0.5284214,465.2968152,0.17892,"RootC and N, SRL, Diam from groot",,"Bad Drought, EE Elva, Jena",Hypericaceae,FORB,PERENNIAL,FORB,,,,
HYPNUM JUTLANDICUM,,,,,,,,,,,"Lygra_intermediate, Lygra_old",Hypnaceae,MOSS,NULL,BRYOPHYTE,,,,
HYPOCHAERIS GLABRA,18.3,0.301666667,,40.145,,,,1.96333333,,,Jilpanger,Compositae,FORB,ANNUAL,FORB,,,leafN from Komastu et al. 2023 EDI,
HYPOCHAERIS INCANA,,,,,,,,,,,Potrok Aike Drt,Compositae,FORB,PERENNIAL,FORB,,,,
HYPOCHAERIS RADICATA,17.75,0.3505,5.956457605,28.74506187,0.108,0.14089564,151.7703194,0.261638779,"RootC and N, depth, RTD, SLR, diam from groot",,"Bad Drought, Bayreuth_DroughtNet, Broken Hill, Charleville, Falls Creek, La Campana North Facing, La Campana South Facing, Quilpie, Rhijnauwen, SantaCruzHigh, SantaCruzLow, SantaCruzMiddle, San Pablo Valdes Drt, Yarramundi Drt",Compositae,FORB,PERENNIAL,FORB,,,,
HYPOLAENA FASTIGIATA,5.5,0.5625,,2.094693,0.25,,2.742290055,,,,Jilpanger,Restionaceae,GRASS,PERENNIAL,FORB,,,,
HYPOXIS FILIFORMIS,,,,,,,,,,,Ukulinga Drought,Hypoxidaceae,FORB,PERENNIAL,FORB,,,,
IMPATIENS NOLI-TANGERE,,0.658333333,,45.38148148,,,25.74550227,0.553757778,"SRL, Diam from groot",,Teshio Experimental Grassland,Balsaminaceae,FORB,ANNUAL,FORB,,,,
INDIGOFERA HILARIS,,,,,,,,,,,Ukulinga Drought,Fabaceae,SHRUB,PERENNIAL,LEGUME,,,,
IONACTIS LINARIIFOLIA,,,,,,,,,,,Sandhills,Compositae,FORB,PERENNIAL,FORB,,,,
ISOETOPSIS GRAMINIFOLIA,,0.045,,14.44850259,,,,,,,"Cobar, CredoJ, CredoM",Compositae,FORB,ANNUAL,FORB,,,,
ISOLEPIS MARGINATA,,0.15,,,,,,,,,Jilpanger,Cyperaceae,GRAMINOID,ANNUAL,GRAMINOID,,,,
IVA ANGUSTIFOLIA,,,,,,,,,,,BFL,Compositae,FORB,ANNUAL,FORB,,,,
JACOBAEA VULGARIS,18.1084,1,5.92241,26.66024961,,,,0.2,RootC from groot,Senecio jacobaea,Rhijnauwen,Compositae,FORB,BIENNIAL,FORB,,,,
JAEGERIA HIRTA,,,,,,,,,,,Las Chilcas Drt,Compositae,NULL,NULL,FORB,,,,
JUNCUS BUFONIUS,30.38,0.3274,,16.59282222,0.1524,0.44,292.3895145,0.090766667,"RTD, SRL, Diam from groot",,"Jilpanger, SantaCruzHigh, SantaCruzLow",Juncaceae,GRASS,ANNUAL,GRAMINOID,,,,
JUNCUS EFFUSUS,12.64837681,1.1116225,9.325765248,8.991914828,0.6096,0.202890258,42.24025782,0.56575,"RootC and N, RTD, SRL, Diam from groot",,Teshio Experimental Grassland,Juncaceae,GRAMINOID,PERENNIAL,GRAMINOID,,,,
JUNCUS IMBRICATUS,,,,,,,,,,,Mar Chiquita Drt,Juncaceae,GRASS,PERENNIAL,GRAMINOID,,,,
JUNCUS MARGINATUS,,0.8382,,,0.2794,,,,,,SLP,Juncaceae,FORB,PERENNIAL,GRAMINOID,,,,
JUNCUS MICROCEPHALUS,,,,,,,,,,,Mar Chiquita Drt,Juncaceae,GRASS,PERENNIAL,GRAMINOID,,,,
JUNCUS SQUARROSUS,67.58333333,0.22416667,,5.87,0.33,,,,,,"Lygra_intermediate, Lygra_old",Juncaceae,GRAMINOID,NULL,GRAMINOID,,,,
JUNELLIA ODONELLII,,,,,,,,,,,Potrok Aike Drt,Verbenaceae,SHRUB,PERENNIAL,WOODY,,,,
JUNIPERUS COMMUNIS,11.83275055,4.953888889,6.475833557,10.53507223,0.3556,0.6,5.55,,"RootC and N, RTD, SRL from groot",,"Cedar Creek Trait, Lygra_intermediate, Lygra_old",Cupressaceae,TREE,PERENNIAL,WOODY,,,,
JUNIPERUS PHOENICEA,8.407,2.943518519,,5.437737901,2.5,0.625121324,8.033595128,0.5192,"depth, RTD, SRL, diam from groot",,Middle Ebro Valley,Cupressaceae,SHRUB,NULL,WOODY,,,height from Carmona et al. 2021,
KNAUTIA ARVENSIS,24.60384722,0.559111111,10.58839097,18.38055602,0.155,0.2315,150.6768113,0.417,"RootC and N, depth, RTD, SRL, diam from groot",,"Allmend Brachy, Bayreuth_DroughtNet",Caprifoliaceae,FORB,PERENNIAL,FORB,,,,
KOELERIA MACRANTHA,14.632,0.117368421,8.54,10.603875,0.508,0.43423927,61.632225,0.231432767,"RootC and N, RTD, SRL, diam from groot",,"Biddulph, Cedar Point - Drought-Net, CMSS, Hardware Ranch, Kinsella, Konza Drt, Matador, Mattheis, Oklahoma (KAEFS-OK)",Poaceae,GRAMINOID,PERENNIAL,GRASS,,,,
KOELERIA MICRATHERA,,,,14.02,,,,,,,Cedar Creek Trait,Poaceae,GRASS,PERENNIAL,GRASS,,,,
KOHAUTIA AMATYMBICA,,,,,0.73,,,,,,Ukulinga Drought,Rubiaceae,FORB,PERENNIAL,FORB,,,,
KRAMERIA LANCEOLATA,,,,,0.6,,,,depth from groot,,Jornada_LTER Drt,Krameriaceae,FORB,PERENNIAL,FORB,,,,
KRASCHENINNIKOVIA LANATA,26.25,0.4572,,11.20220464,0.3048,,124.72,0.7078,,,Matador,Amaranthaceae,FORB,PERENNIAL,WOODY,,,,
KYLLINGA ODORATA,,,,,,,,,,,Yarramundi Drt,Cyperaceae,GRAMINOID,NULL,GRAMINOID,,,,
LACTUCA SERRIOLA,32,0.9375,,21.4302,0.825,,257.2538462,0.61,"depth from groot, Rdiam from Julie Larson",,"Bad Drought, Cap Mcdowell, Jena, Naposta, ORE IDE AA, SantaCruzLow",Compositae,FORB,BIENNIAL,FORB,,,,
LACTUCA TATARICA,22.6,0.625,,18.07666667,2.4,0.213227444,77.19169246,,"RTD, SRL from groot",,"Kernen_burned, Kernen_unburned",Compositae,FORB,PERENNIAL,FORB,,,,
LAGENOCARPUS GUIANENSIS,,,,,,,,,,,Guaribas,Cyperaceae,GRAMINOID,PERENNIAL,GRAMINOID,,,,
Lagenophora stipitata,,0.2225,,17.262441,,,,,,,Jilpanger,Compositae,FORB,PERENNIAL and ANNUAL,FORB,,,,
LARREA DIVARICATA,22.9,1.67,,5.881206897,3.5,,,,,,Los Cerrillos,Zygophyllaceae,SHRUB,PERENNIAL,WOODY,,,,
LARREA TRIDENTATA,20.22556818,1.991666667,,10.4929565,2.4,,45.247608,0.583333333,"SLA, RTD, fineRTD,SLA, Diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","depth, SRL from groot",NNSS_Mojave,Zygophyllaceae,SHRUB,PERENNIAL,WOODY,,,height from Carmona et al. 2021 Sci Adv,
LATHYRUS CRASSIPES,,,,,,,,,,,Mar Chiquita Drt,Fabaceae,FORB,ANNUAL,LEGUME,,,,
LATHYRUS NERVOSUS,,,,,,,,,,,Potrok Aike Drt,Fabaceae,LEGUME,PERENNIAL,LEGUME,,,,
LATHYRUS OCHROLEUCUS,32.9,,,,,,,,,,Brookdale,Fabaceae,LEGUME,PERENNIAL,LEGUME,,,,
LATHYRUS PRATENSIS,39.68831026,0.475733333,25.11541,24.99129113,1.18,0.141833333,63.29727228,0.4965,"RootC, RTD, SRL, diam from groot",,"EE Elva, Rhijnauwen",Fabaceae,LEGUME,PERENNIAL,LEGUME,,,,
LATHYRUS SPHAERICUS,,0.3125,,,,,,,,,Cowichan Drt,Fabaceae,FORB,ANNUAL,LEGUME,,,height from Carmona et al. 2021 Sci Adv,
LATHYRUS VENOSUS,30.13845455,0.3533,,18.46365493,,0.194444444,46.82957143,0.3725,"RTD, SRL, Diam from groot",,"Brookdale, Cedar Creek Savanna",Fabaceae,LEGUME,PERENNIAL,LEGUME,,,,
LECHEA MUCRONATA,,,,,,,,,,,SLP,Cistaceae,FORB,PERENNIAL,FORB,,,,
LECHEA SAN-SABEANA,,,,,,,,,,,BFL,Cistaceae,FORB,PERENNIAL,FORB,,,,
LEDEBOURIA APERTIFLORA,,,,,,,,,,,Ukulinga Drought,Hyacinthaceae,FORB,PERENNIAL,FORB,,,,
LEERSIA HEXANDRA,17.321052,1.5,,26,,,,,,,Las Chilcas Drt,Poaceae,GRASS,PERENNIAL,GRASS,,,,
LEONTODON HISPIDUS,23.92644618,0.371,11.53789754,27.0408515,0.3,0.134462153,204.9072943,0.273284146,"RootC and N, RTD, SRL, diam from groot",,"Allmend Ovina, EE Elva, Jena, Pineta",Compositae,FORB,PERENNIAL,FORB,,,,
LEPIDIUM DENSIFLORUM,46.39666667,0.32,14.21,22.39565455,,0.43647638,190.8904667,0.137691667,"RootC and N, RTD, SRL, diam from groot",,Cedar Point - Drought-Net,Brassicaceae,FORB,ANNUAL,FORB,,,,
LEPIDIUM SUBULATUM,19.94806715,0.3,,6.508870465,0.74,,,,,,Ciempozuelos,Brassicaceae,SUBSHRUB,NULL,WOODY,,,,
LEPIDOSPERMA CARPHOIDES,5.7,0.5,,2.685549,0.28,,,,,,Jilpanger,Cyperaceae,GRAMINOID,PERENNIAL,GRAMINOID,,,,
LEPIDOSPERMA CONGESTUM,,0.5,,2.737,,,,,,,Jilpanger,Cyperaceae,GRAMINOID,PERENNIAL,GRAMINOID,,,,
LEPTOCHLOA DUBIA,,0.9144,,,,,,,,,Los Cerrillos,Poaceae,GRASS,PERENNIAL,GRASS,,,height from Carmona et al. 2021 Sci Adv,
LESPEDEZA CAPITATA,19.09948702,0.842,31.172408,12.45020289,0.4572,0.228401178,79.00332954,0.333275,"RootN, RTD, SRL, Diam from groot",,"Cedar Creek Savanna, Cedar Creek Trait, Konza Drt, Oklahoma (KAEFS-OK)",Fabaceae,FORB,PERENNIAL,LEGUME,,,,
LESPEDEZA HIRTA,,1.8288,,,0.2286,,,,,,Sandhills,Fabaceae,LEGUME,PERENNIAL,LEGUME,,,,
LESPEDEZA JUNCEA var. SERICEA,,,,,,,,,,,"Bivens Arm, Oklahoma (KAEFS-OK)",Fabaceae,FORB,PERENNIAL,LEGUME,,,,
LESPEDEZA PROCUMBENS,,0.248,,15.64773251,,,,,,,Sandhills,Fabaceae,LEGUME,PERENNIAL,LEGUME,,,"SLA from Siefert, A., Fridley, J.D., and Ritchie, M.E. 2014. Community functional responses to soil and climate at multiple spatial scales: when does intraspecific variation matter? PLOS ONE 9: e111189",height from Carmona et al. 2021 Sci Adv
LEUCANTHEMOPSIS ALPINA,26,0.035,,15.775,0.126,,,0.83,,,Passo Gavia,Compositae,FORB,PERENNIAL,FORB,,,,
LEUCANTHEMUM VULGARE,30.26796208,0.53192,9.640667198,17.80983272,0.2032,0.178238532,205.5962002,0.23427,"RootC and N, RTD, SRL, Diam from groot",,"Allmend Brachy, Allmend Ovina, Bad Drought, Cowichan Drt, EE Elva, Rhijnauwen",Compositae,FORB,PERENNIAL,FORB,,,,
LEUCHERIA PURPUREA,,,,,,,,,,,Potrok Aike Drt,Compositae,FORB,PERENNIAL,FORB,,,,
LEUCOBRYUM GLAUCUM,,,,,,,,,,,Lygra_old,Leucobryaceae,BRYOPHYTE,NULL,BRYOPHYTE,,,,
LEVENHOOKIA DUBIA,,0.0675,,46.78369,,,,,,,Jilpanger,Stylidiaceae,FORB,ANNUAL,FORB,,,,
LIATRIS ASPERA,12.33641253,0.68,20.498833,17.00092904,,0.135313282,193.6403191,0.335858333,"RootC and N, RTD, SRL, Diam from groot",,"Cedar Creek Savanna, Cedar Creek Trait ",Compositae,FORB,PERENNIAL,FORB,,,,
LIATRIS COKERI,,,,,,,,,,,Sandhills,Compositae,FORB,PERENNIAL,FORB,,,,
LIATRIS LIGULISTYLIS,,,,,,,,,,,Brookdale,Compositae,FORB,PERENNIAL,FORB,,,,
LIATRIS PUNCTATA,16.817,0.6096,,9.8333502,0.3556,0.16753096,118.8077502,0.3044,"RTD, SRL, Diam from groot, leaf N from Julie Larson",,"BFL, Biddulph, Cedar Point - Drought-Net",Compositae,FORB,PERENNIAL,FORB,,,,
LIATRIS SQUARROSA,22.06384,0.4548,,16.33650548,0.67,,,,,,Oklahoma (KAEFS-OK),Compositae,FORB,PERENNIAL,FORB,,,,
LIGUSTICUM MUTELLINA,21.8,0.28,,24.9616,0.68,,,,,,Passo Gavia,Apiaceae,FORB,PERENNIAL,FORB,,,,
LINANTHUS JONESII,,,,,,,,,,,NNSS_Mojave,Polemoniaceae,FORB,ANNUAL,FORB,,,,
LINUM BIENNE,,0.279516908,,20.94632332,,,,,,,SantaCruzHigh,Linaceae,FORB,ANNUAL,FORB,,,"SLA from Sandel, B., J. D. Corbin, and M. Krupa. 2011. Using plant functional traits to guide restoration: a case study in California coastal grassland. Ecosphere 2(2):art23. doi:10.1890/ES10-00175.1",height from Carmona et al. 2021 Sci Adv
LINUM CATHARTICUM,20.2751018,0.184833333,,29.89038332,0.18,,308.1,,,,"Allmend Brachy, Allmend Ovina, EE Elva",Linaceae,FORB,ANNUAL,FORB,,,,
LINUM MEDIUM,,0.328,,22.57688088,,,,,,,SLP,Linaceae,FORB,ANNUAL,FORB,,,,
LINUM PERENNE,31.9,0.466666667,,26.23333333,,,,,,,Hardware Ranch,Linaceae,FORB,PERENNIAL,FORB,,,"leafN from Vergutz, L., S. Manzoni, A. Porporato, R.F. Novais, and R.B. Jackson. 2012. A Global Database of Carbon and Nutrient Concentrations of Green and Senesced Leaves. Data set. Available on-line [http://daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A. http://dx.doi.org/10.3334/ORNLDAAC/1106",
LINUM RIGIDUM,,,,,0.13,,,,,,"BFL, Cedar Point - Drought-Net, Matador",Linaceae,FORB,ANNUAL,FORB,,,,
