"","Taxon","site_code","mean.after.control.0","mean.after.drought.0","mean.before.control.0","mean.before.drought.0","drought.after.before","control.after.before","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"759","MICROSERIS LANCEOLATA","falls.au",0,1,0,1,0,0,0,NA,0.4,NA,11.380814,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"760","MICROSERIS SCAPIGERA","jilpanger.au",0.5,0.5,0.5,0.5,0,0,0,NA,0.36,NA,35.23,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"761","MILLOTIA TENUIFOLIA","jilpanger.au",0.666666667,0.5,0.5,0.5,0,0.166666667,-0.166666667,NA,0.12,NA,36.253385,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"762","MINUARTIA GLOMERATA","kiskun.hu",0.2,0.07,0.75,2,-1.93,-0.55,-1.38,NA,NA,NA,11.1936,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"763","MINURIA DENTICULATA","milparinka.au",0,0,3,3,-3,-3,0,NA,0.15,NA,10.12839779,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"766","MONARDA FISTULOSA","cedartrait.us",2,8,3,11,-3,-1,-2,11.29051118,0.662,17.87547,26.21085308,0.1016,0.27,93.37285277,0.28925,"FORB","PERENNIAL","FORB"
"767","MONARDA PUNCTATA","slp.us",0,5,0,0,5,0,5,13.2,0.4265,NA,18.95202815,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"771","MYOSOTIS DISCOLOR","cowidrt.ca",0,0,2,1.5,-1.5,-2,0.5,NA,0.25375,NA,27.63777778,NA,NA,NA,0.846666667,"FORB","BOTH","FORB"
"772","MYOSOTIS STRICTA","kiskun.hu",0.01,0,0,0,0,0.01,-0.01,NA,0.136666667,NA,21.00716667,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"773","NARTHECIUM OSSIFRAGUM","lygraold.no",0,3,0,1,2,0,2,24.7,0.2325,NA,24.15,0.22,NA,NA,NA,"FORB","PERENNIAL","FORB"
"778","NEOTTIA OVATA","pineta.es",3,1.75,0,0,1.75,3,-1.25,NA,0.32,NA,30.18571429,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"780","NOTICASTRUM SERICEUM","chacra.ar",0,0.5,0,0,0.5,0,0.5,30.175,NA,NA,36.99,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"781","NOTICASTRUM SERICEUM","spvdrt.ar",1,4,1,1,3,0,3,30.175,NA,NA,36.99,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"783","ORTHOCARPUS LUTEUS","kernb.ca",0,0,0.5,0.5,-0.5,-0.5,0,11.5,0.4572,11.9,19.9635464,0.254,0.333333333,84.3705,0.2062,"FORB","ANNUAL","FORB"
"784","OXALIS ACETOSELLA","pineta.es",0,1.333333333,0,0,1.333333333,0,1.333333333,28.21760537,0.104166667,5.86667,NA,NA,NA,NA,0.1,"FORB","PERENNIAL","FORB"
"785","OXALIS CONORRHIZA","eea.br",0,0,1,0,0,-1,1,NA,0.1176,NA,42.67,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"786","OXALIS CONORRHIZA","naposta.ar",0,1,0,1,0,0,0,NA,0.1176,NA,42.67,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"787","OXALIS DILLENII","slp.us",1,2.5,0,0,2.5,1,1.5,36.94,0.188478161,NA,41.82566697,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"788","OXALIS STRICTA","konzadrt.us",1,0.4,0,0,0.4,1,-0.6,23.5,0.4,NA,NA,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"789","OXALIS STRICTA","oklah.us",0.5,0.5,0,0,0.5,0.5,0,23.5,0.4,NA,NA,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"790","PACKERA CANA","oreaa.us",15.5,0,25.5,0.5,-0.5,-10,9.5,NA,0.4572,NA,6.036472348,0.3048,NA,NA,NA,"FORB","PERENNIAL","FORB"
"802","PAPAVER RHOEAS","baddrt.de",0,0,0.5,0,0,-0.5,0.5,37.31906667,0.63375,NA,33.07,NA,0.54,NA,0.33,"FORB","ANNUAL","FORB"
"805","PARNASSIA PALUSTRIS","allmendb.ch",0,0,0.25,0,0,-0.25,0.25,16.99145067,0.29014,NA,29.0232756,0.2032,NA,NA,NA,"FORB","PERENNIAL","FORB"
"806","PARTHENIUM INTEGRIFOLIUM","sand.us",4,5,4,20,-15,0,-15,15.3,0.7746,NA,10.84,1.8,NA,NA,NA,"FORB","PERENNIAL","FORB"
"818","PEDICULARIS SYLVATICA","lygraint.no",0,1,1,0,1,-1,2,38.59,0.161666667,24.01,11.55,NA,NA,NA,NA,"FORB","TWO","FORB"
"819","PELARGONIUM RODNEYANUM","jilpanger.au",0.5,1,0,0.5,0.5,0.5,0,NA,0.4,NA,16.370301,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"820","PENSTEMON ALBIDUS","cdpt_drt.us",0,0.5,0,0,0.5,0,0.5,16.68,0.13425,NA,9.692319451,NA,NA,NA,NA,"GRASS","PERENNIAL","FORB"
"822","PERSICARIA VIVIPARA","passogavia.it",1.05,0.1,1.025,0.02,0.08,0.025,0.055,21.5,0.283,NA,22,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"823","PFAFFIA TUBEROSA","eea.br",0,0,3,0,0,-3,3,NA,0.227422476,NA,14.86229927,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"828","PHLOX HOODII","biddulph.ca",0,0,0,0.5,-0.5,0,-0.5,23.27,0.02825,NA,13.95070877,0.54,0.180454545,107.0545926,0.2647,"FORB","PERENNIAL","FORB"
"829","PHLOX HOODII","matador.ca",0,0,0,0.5,-0.5,0,-0.5,23.27,0.02825,NA,13.95070877,0.54,0.180454545,107.0545926,0.2647,"FORB","PERENNIAL","FORB"
"830","PHLOX HOODII","oreaa.us",3.5,1.625,2.25,1.375,0.25,1.25,-1,23.27,0.02825,NA,13.95070877,0.54,0.180454545,107.0545926,0.2647,"FORB","PERENNIAL","FORB"
"831","PHLOX PILOSA","cedarsav.us",0,0,1.5,0,0,-1.5,1.5,17.253,0.6,NA,25.66852391,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"833","PHYSALIS HEDERIFOLIA","jrnchi.us",0.44768225,0.0687285,0.69929288,0.41075845,-0.34202995,-0.25161063,-0.09041932,19.19,NA,NA,20.70393375,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"834","PHYTEUMA HEMISPHAERICUM","passogavia.it",2.4,2.3,2,1.7,0.6,0.4,0.2,27,0.1,NA,19.5,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"835","PICRIS HIERACIOIDES","baddrt.de",63,48,33.7,23.2,24.8,29.3,-4.5,24.11,0.157,12.13,18.58,1.23,0.0725,193.765,0.45557832,"FORB","PERENNIAL","FORB"
"836","PICRIS HIERACIOIDES","jenadrt.de",4.5,2.166666667,0,0,2.166666667,4.5,-2.333333333,24.11,0.157,12.13,18.58,1.23,0.0725,193.765,0.45557832,"FORB","PERENNIAL","FORB"
"837","PILOSELLA AURANTIACA","bayrdrt.de",0,4,0,0,4,0,4,14.23505,0.358333333,NA,29.759314,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
