,Species,leafN.mg.g,Height.m,rootN.mg.g,SLA.mg.g,Root.depth.m,SRL.fine.cm.g,root.diam.mm,SLA.no.petiole.mm2.mg,SLA.unknown.petiole.mm2.mg,SLA.petiole.mm2.mg
296,Aesculus carnea_x,NA,20,NA,NA,NA,NA,NA,NA,NA,NA
297,Aesculus flava,NA,21.489,NA,NA,0.9144,NA,NA,NA,NA,NA
298,Aesculus glabra,20.8,19.739,NA,NA,0.9144,NA,NA,NA,NA,NA
299,Aesculus hippocastanum,22.81203704,26.25,NA,17.26434601,NA,NA,NA,17.26434601,NA,NA
300,Aesculus pavia,NA,6.966933333,NA,13.53828345,0.508,NA,NA,13.53828345,NA,NA
301,Aesculus sylvatica,NA,14.478,NA,NA,0.9144,NA,NA,NA,NA,NA
302,Aesculus turbinata,NA,30,NA,NA,NA,NA,NA,NA,NA,NA
303,Aethionema saxatile,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA
304,Aethusa cynapium,NA,0.820833333,NA,33.56166667,NA,NA,NA,32.2,NA,34.92333333
305,Aextoxicon punctatum,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
306,Afzelia africana,29.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,Agalinis communis,NA,0.319444445,NA,NA,NA,NA,NA,NA,NA,NA
308,Agalinis oligophylla,NA,0.302,NA,62.50816389,NA,NA,NA,62.50816389,NA,NA
309,Agapanthus africanus,25.4,NA,NA,15.69,NA,NA,NA,NA,NA,15.69
310,Agarista eucalyptoides,NA,1.255833334,NA,NA,NA,NA,NA,NA,NA,NA
311,Agarista oleifolia,NA,NA,NA,7.692307692,NA,NA,NA,NA,7.692307692,NA
312,Agastache foeniculum,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
313,Agastache parvifolia,NA,0.6096,NA,NA,0.3048,NA,NA,NA,NA,NA
314,Agastache urticifolia,NA,1.524,NA,NA,0.3048,NA,NA,NA,NA,NA
315,Agathis australis,7.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,Agave americana,NA,1.8288,NA,1.852206864,0.762,NA,NA,NA,1.852206864,NA
317,Agave attenuata,NA,NA,NA,2.298850575,NA,NA,NA,NA,2.298850575,NA
318,Agave deserti,NA,NA,NA,0.374515653,NA,NA,NA,NA,0.374515653,NA
319,Agave gerardii,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA
320,Agave mitis,11.8,NA,NA,2.69,NA,NA,NA,NA,NA,2.69
321,Agave sisalana,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
322,Agave utahensis,NA,0.3048,NA,NA,0.1524,NA,NA,NA,NA,NA
323,Agave virginica,NA,0.116,NA,7.169081878,NA,NA,NA,7.169081878,NA,NA
324,Agelanthus lugardii,34.73662,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,Ageratina adenophora,31.5,NA,NA,36.10108303,NA,NA,NA,36.10108303,NA,NA
326,Ageratina dendroides,16.44666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
327,Ageratina liebmannii,21.6,NA,NA,14.29716387,NA,NA,NA,NA,NA,14.29716387
328,Ageratina riparia,NA,NA,NA,11.3507378,NA,NA,NA,NA,11.3507378,NA
329,Aglaia argentea,25.8,1.28,NA,14.73554757,NA,NA,NA,17.95332136,11.51777379,NA
330,Aglaia flavida,NA,35,NA,NA,NA,NA,NA,NA,NA,NA
331,Aglaia pinnata,NA,NA,NA,14.35,NA,NA,NA,14.35,14.35,NA
332,Aglaia rimosa,29.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,Agonis flexuosa,NA,NA,NA,5.050505051,NA,NA,NA,NA,5.050505051,NA
334,Agoseris aurantiaca,NA,0.3048,NA,NA,0.1524,NA,NA,NA,NA,NA
335,Agoseris glauca,NA,0.3048,NA,NA,0.1524,NA,NA,NA,NA,NA
336,Agoseris grandiflora,NA,0.54864,NA,NA,0.2032,NA,NA,NA,NA,NA
337,Agrimonia eupatoria,14.6,0.771111111,NA,17.4475,NA,NA,NA,15,NA,19.895
338,Agrimonia gryposepala,NA,1.79832,NA,20.6,0.1524,NA,NA,20.6,NA,NA
339,Agrimonia procera,NA,1.375,NA,19.275,NA,NA,NA,20.33,NA,18.22
340,Agrimonia pubescens,NA,0.722777778,NA,13.83573369,NA,NA,NA,NA,NA,13.83573369
341,Agrimonia rostellata,NA,1.26492,NA,NA,0.1524,NA,NA,NA,NA,NA
342,Agrimonia striata,NA,1.8288,NA,NA,0.3048,NA,NA,NA,NA,NA
343,Agropyron cristatum,15.25,0.4498,NA,13.44438801,0.4572,NA,NA,10.68783069,8.195333333,21.45
344,Agropyron desertorum,NA,0.6096,NA,NA,0.254,NA,NA,NA,NA,NA
345,Agropyron fragile,6.8,0.9144,NA,NA,0.254,NA,NA,NA,NA,NA
346,Agropyron mongolicum,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
347,Agropyron sp,14.85,NA,10,27.5,NA,NA,0.3,NA,27.5,NA
348,Agrostemma githago,NA,0.87,NA,17.73666667,NA,NA,NA,NA,NA,17.73666667
349,Agrostis agrostiflora,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA
350,Agrostis alpina,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA
351,Agrostis canina,20.86288625,0.4223,9.3,31.98710699,0.254,NA,0.15,31.75363177,NA,32.22058222
352,Agrostis capillaris,27.65006595,0.393022873,8.907142857,44.73267142,0.3048,NA,0.128571429,31.64295428,75.877,26.67805998
353,Agrostis castellana,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA
354,Agrostis curtisii,NA,NA,NA,22,NA,NA,NA,22,NA,NA
355,Agrostis exarata,NA,0.9144,NA,NA,0.254,NA,NA,NA,NA,NA
356,Agrostis gigantea,NA,0.94615,NA,24.79416667,0.3556,NA,NA,28.394,NA,21.19433333
357,Agrostis hyemalis,NA,0.9834,NA,NA,0.2032,NA,NA,NA,NA,NA
358,Agrostis idahoensis,NA,0.42672,NA,NA,0.254,NA,NA,NA,NA,NA
359,Agrostis mertensii,NA,0.055,NA,24.41,NA,NA,NA,NA,NA,24.41
360,Agrostis montevidensis,NA,0.229358974,NA,NA,NA,NA,NA,NA,NA,NA
361,Agrostis pallens,NA,0.6096,NA,NA,0.2032,NA,NA,NA,NA,NA
362,Agrostis perennans,NA,1.0668,NA,NA,0.2032,NA,NA,NA,NA,NA
363,Agrostis pourretii,NA,NA,NA,43,NA,NA,NA,43,NA,NA
364,Agrostis rupestris,NA,0.035,NA,15.5,NA,NA,NA,NA,15.5,NA
365,Agrostis scabra,8.00326776,6.263666667,NA,9.409573332,0.3048,NA,NA,9.566666667,NA,9.252479998
366,Agrostis schleicheri,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA
367,Agrostis sp,21.4,NA,11.5,NA,NA,NA,0.1,NA,NA,NA
368,Agrostis stolonifera,31.5111841,0.414942857,6.2,33.12353796,0.3048,13295.27111,0.1,34.39330162,36.85897436,28.11833789
369,Agrostis vinealis,28.6233803,0.436666667,NA,16.68267148,NA,NA,NA,19.63200962,NA,13.73333333
370,Aidia cochinchinensis,19.05,NA,NA,14,NA,NA,NA,NA,14,NA
371,Ailanthus altissima,NA,23.06,NA,13.344825,0.762,NA,NA,NA,13.344825,NA
372,Ailanthus excelsa,28.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,Aiouea montana,21.03654504,18.83409249,NA,11.42681839,NA,NA,NA,12.6705546,9.5,12.10990055
374,Aiouea saligna,NA,0.76875,NA,NA,NA,NA,NA,NA,NA,NA
375,Aiouea sp,21.82804,NA,NA,12.04823915,NA,NA,NA,NA,12.04823915,NA
376,Aiouea zapatae,NA,NA,NA,9.048253144,NA,NA,NA,NA,9.048253144,NA
377,Aira caryophyllea,NA,0.155,NA,21.08,NA,NA,NA,21.08,NA,NA
378,Aira praecox,NA,0.160555556,NA,20.87125,NA,NA,NA,22.75,NA,18.9925
379,Aizoon africanum,NA,NA,NA,7.86163522,NA,NA,NA,NA,7.86163522,NA
380,Ajania parviflora,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
381,Ajania tibetica,NA,NA,NA,9.082652134,NA,NA,NA,9.082652134,NA,NA
382,Ajuga chamaepitys,NA,0.120833333,NA,22.48,NA,NA,NA,NA,NA,22.48
383,Ajuga genevensis,NA,0.2425,NA,25.79166667,NA,NA,NA,NA,NA,25.79166667
384,Ajuga orientalis,20.62646537,NA,NA,12.67212313,NA,NA,NA,12.67212313,NA,NA
385,Ajuga pyramidalis,NA,0.2205,NA,17.32833333,NA,NA,NA,NA,14.6,20.05666667
386,Ajuga reptans,19.16998192,0.175276667,9.5042,33.834565,0.254,3841.447344,NA,32,NA,35.66913
387,Alangium chinense,NA,NA,NA,27.77777778,NA,NA,NA,NA,27.77777778,NA
388,Alangium villosum,28.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
389,Alantsilodendron pilosum,20.18210412,2.732692308,NA,7.991832503,NA,NA,NA,NA,7.991832503,NA
390,Albizia adianthifolia,25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
391,Albizia adinocephala,NA,NA,NA,10.73134715,NA,NA,NA,10.3626943,11.1,NA
392,Albizia chinensis,21.425,NA,NA,NA,NA,NA,NA,NA,NA,NA
393,Albizia guachapele,NA,NA,NA,13.03573717,NA,NA,NA,11.55234445,16.66666667,10.88820038
394,Albizia gummifera,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
395,Albizia julibrissin,23.5,6.858,NA,NA,0.762,NA,NA,NA,NA,NA
396,Albizia niopoides,28.64693,40,NA,9.0446725,NA,NA,NA,NA,9.0446725,NA
397,Albizia odoratissima,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
398,Albizia pedicellaris,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
399,Albizia procera,28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,Albizia saman,31.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
401,Albizia schimperiana,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
402,Albizia sp,22.17142857,NA,NA,NA,NA,NA,NA,NA,NA,NA
403,Alcea rosea,NA,2.1,NA,13.92333333,NA,NA,NA,NA,NA,13.92333333
404,Alchemilla acutiloba,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA
405,Alchemilla alpina,NA,0.088,NA,14.41888889,NA,NA,NA,18.7,11.3,13.25666667
406,Alchemilla caucasica,19.41125509,NA,NA,13.10573859,NA,NA,NA,13.10573859,NA,NA
407,Alchemilla conjuncta,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA
408,Alchemilla erythropoda,NA,0.1383,NA,16.82667716,NA,NA,NA,16.82667716,NA,NA
409,Alchemilla filicaulis,NA,0.204166667,NA,19.26666667,NA,NA,NA,19.26666667,NA,NA
410,Alchemilla fissa,NA,0.125,NA,21.4,NA,NA,NA,NA,21.4,NA
411,Alchemilla fluminea,NA,0.104,NA,23.31632653,NA,NA,NA,23.31632653,NA,NA
412,Alchemilla glabra,NA,0.282083333,NA,21.32444444,NA,NA,NA,21.12,NA,21.52888889
413,Alchemilla glaucescens,NA,0.2,NA,19.26833333,NA,NA,NA,21.30333333,NA,17.23333333
414,Alchemilla glomerulans,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA
415,Alchemilla micans,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA
416,Alchemilla mollis,NA,1,NA,15.75,NA,NA,NA,NA,NA,15.75
417,Alchemilla monticola,NA,0.27875,NA,17.31,NA,NA,NA,NA,NA,17.31
418,Alchemilla propinqua,NA,NA,NA,19.86,NA,NA,NA,NA,NA,19.86
419,Alchemilla sericata,NA,0.07467,NA,17.79019608,NA,NA,NA,17.79019608,NA,NA
420,Alchemilla sp,21.4,NA,NA,20.9,NA,NA,NA,20.9,NA,NA
421,Alchemilla subcrenata,NA,0.5,NA,19.52333333,NA,NA,NA,NA,NA,19.52333333
422,Alchemilla subglobosa,NA,NA,NA,20.79666667,NA,NA,NA,NA,NA,20.79666667
423,Alchemilla versipila,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA
424,Alchemilla vulgaris,26.62667127,0.340388889,NA,22.04364061,NA,NA,NA,21.25204247,NA,22.83523875
425,Alchemilla wichurae,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA
426,Alchemilla xanthochlora,NA,0.6075,NA,20.265,NA,NA,NA,17.95,NA,22.58
427,Alchornea costaricensis,22.77215155,19.1890563,NA,15.8257131,NA,NA,NA,16.23343883,NA,15.41798738
428,Alchornea discolor,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
429,Alchornea glandulosa,33.5350575,NA,NA,12.75352757,NA,NA,NA,NA,12.75352757,NA
430,Alchornea latifolia,17.73514018,12.9672,NA,16.09755168,0.9144,NA,NA,22.65456839,5.1,20.53808664
431,Alchornea rugosa,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
432,Alchornea triplinervia,21.63527778,8.875,NA,16.07574433,NA,NA,NA,6.857508247,25.29398042,NA
433,Alchorneopsis portoricensis,26.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
434,Aldama anchusifolia,NA,0.596875,NA,NA,NA,NA,NA,NA,NA,NA
435,Aldina heterophylla,NA,NA,NA,9.098333333,NA,NA,NA,NA,9.098333333,NA
436,Aldina kunhardtiana,21.25846583,NA,NA,8.387126552,NA,NA,NA,NA,8.387126552,NA
437,Aldina latifolia,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
438,Alectryon excelsus,NA,10.5,NA,15.7358458,NA,NA,NA,NA,NA,15.7358458
439,Alectryon oleifolius,NA,6.65,NA,4.620584695,NA,NA,NA,NA,4.650779593,4.590389797
440,Alectryon subcinereum,NA,1.5,NA,13.29551622,NA,NA,NA,NA,13.29551622,13.29551622
441,Aletes acaulis,37.39434262,NA,NA,12.07208949,NA,NA,NA,12.07208949,NA,NA
442,Aleurites moluccanus,NA,15.24,NA,14.89877171,0.9144,NA,NA,20.94798591,8.849557522,NA
443,Alexa grandiflora,21.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
444,Alhagi canescens,NA,NA,13.6,NA,NA,NA,NA,NA,NA,NA
445,Alhagi maurorum,27.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
446,Alhagi pseudalhagi,27.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
447,Alibertia dwyeri,17.99733582,2.84,NA,14.44347332,NA,NA,NA,14.68122343,NA,14.20572321
448,Alibertia edulis,20.7668166,10.106,NA,16.41403142,NA,NA,NA,16.66151568,NA,16.16654716
449,Alisma gramineum,NA,0.385733333,NA,NA,0.2032,NA,NA,NA,NA,NA
450,Alisma lanceolatum,NA,0.7375,NA,29.59737996,NA,NA,NA,34.685,NA,24.50975992
2,ALISMA PLANTAGO-AQUATICA,NA,0.9798,NA,29.00819484,0.4064,NA,NA,29.68777778,28.3286119,NA
451,Alisma subcordatum,NA,0.1524,NA,NA,0.2032,NA,NA,NA,NA,NA
452,Alisma triviale,16.53467,NA,NA,9.541,NA,NA,NA,9.541,NA,NA
453,Alkanna tinctoria,11.2,NA,NA,31.44654088,NA,NA,NA,NA,31.44654088,NA
454,Alkekengi officinarum,NA,0.7125,NA,33.57,NA,NA,NA,NA,NA,33.57
455,Allagoptera arenaria,11.30169671,NA,NA,NA,NA,NA,NA,NA,NA,NA
456,Allamanda blanchetii,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
457,Allantoma integrifolia,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
458,Allenrolfea patagonica,11.5,NA,NA,6.696675553,NA,NA,NA,4.29,11.51,4.290026659
459,Alliaria petiolata,42.81158802,0.4789,NA,47.01778511,NA,NA,NA,46.95373898,NA,47.08183124
460,Allionia incarnata,NA,NA,NA,21.88917424,NA,NA,NA,NA,NA,21.88917424
461,Allium acuminatum,NA,0.3048,NA,NA,0.1524,NA,NA,NA,NA,NA
462,Allium angulosum,NA,0.225,NA,NA,NA,NA,NA,NA,NA,NA
463,Allium carinatum,22.76,0.474333333,NA,22.04397876,NA,NA,NA,NA,NA,22.04397876
464,Allium cepa,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA
465,Allium cyaneum,NA,NA,NA,7.472166181,NA,NA,NA,NA,7.472166181,NA
466,Allium douglasii,NA,0.27432,NA,NA,0.2032,NA,NA,NA,NA,NA
467,Allium fistulosum,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA
468,Allium lineare,NA,0.2,NA,12.01923077,NA,NA,NA,12.01923077,NA,NA
469,Allium mongolicum,31.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,Allium obliquum,NA,0.6125,NA,NA,NA,NA,NA,NA,NA,NA
471,Allium oleraceum,NA,0.4875,NA,11.8,NA,NA,NA,11.8,NA,NA
472,Allium paradoxum,NA,0.35,NA,42.83666667,NA,NA,NA,NA,NA,42.83666667
473,Allium platyspathum,NA,NA,NA,8.591065292,NA,NA,NA,8.591065292,NA,NA
474,Allium polyrhizum,52.592,NA,NA,8.57559386,NA,NA,NA,NA,8.57559386,NA
475,Allium ramosum,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
476,Allium rotundum,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA
477,Allium rubellum,NA,0.138,NA,19.55,NA,NA,NA,19.55,NA,NA
478,Allium sativum,NA,0.375,NA,NA,NA,NA,NA,NA,NA,NA
479,Allium schoenoprasum,NA,0.376666667,NA,10.37988889,NA,NA,NA,NA,NA,10.37988889
480,Allium scorodoprasum,NA,0.775,NA,4.683333333,NA,NA,NA,NA,NA,4.683333333
481,Allium senescens,27.29,0.115,NA,13.19666667,NA,NA,NA,NA,NA,13.19666667
482,Allium sp,NA,NA,NA,28.01120448,NA,NA,NA,28.01120448,NA,NA
483,Allium sphaerocephalon,NA,0.225,NA,5.696666667,NA,NA,NA,NA,NA,5.696666667
484,Allium suaveolens,NA,0.225,NA,NA,NA,NA,NA,NA,NA,NA
485,Allium textile,NA,0.3048,NA,NA,0.2032,NA,NA,NA,NA,NA
486,Allium tribracteatum,NA,0.3048,NA,NA,0.2032,NA,NA,NA,NA,NA
487,Allium triquetrum,NA,0.4,NA,29.21684338,NA,NA,NA,23.9,NA,34.53368676
488,Allium ursinum,38.26666667,0.3875,NA,37.25,NA,NA,NA,37.25,NA,NA
489,Allium validum,NA,0.6096,NA,NA,0.2032,NA,NA,NA,NA,NA
490,Allium victorialis,NA,0.375,NA,NA,NA,NA,NA,NA,NA,NA
491,Allium vineale,NA,0.5375,NA,16.97482573,NA,NA,NA,18.70365456,13.51351351,18.70730911
492,Allium zebdanense,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
493,Allocasuarina decaisneana,10.05333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
494,Allocasuarina distyla,NA,0.75,NA,0.95514992,NA,NA,NA,NA,0.95514992,0.95514992
495,Allocasuarina humilis,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,Allocasuarina littoralis,NA,5,NA,2.865928436,NA,NA,NA,NA,2.865928436,2.865928436
497,Allocasuarina pusilla,10.6,NA,NA,2.615789474,NA,NA,NA,NA,2.615789474,NA
498,Allocasuarina sp,13.2,5.5,NA,5.013668529,NA,NA,NA,5.435663854,4.571758242,5.033583491
499,Allocasuarina torulosa,NA,7,NA,9.484510312,NA,NA,NA,16.16290909,6.145310923,6.145310923
500,Allophylus camptostachys,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
501,Allophylus compostachis,11.29,NA,NA,9.345794393,NA,NA,NA,NA,9.345794393,NA
502,Allophylus edulis,NA,2.40599359,NA,NA,NA,NA,NA,NA,NA,NA
503,Allophylus psilospermus,34.66927031,16.30640377,NA,22.92681417,NA,NA,NA,24.24607809,NA,21.60755025
504,Allophylus zeylanicus,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
505,Alloteropsis semialata,9.46875,NA,2.7625,NA,NA,NA,0.4375,NA,NA,NA
506,Alnus alnobetula,23.8725,4.143,NA,24.22576813,0.3905,NA,NA,34.15259424,14.49137681,24.03333333
507,Alnus cordata,NA,17.83333333,NA,NA,NA,NA,NA,NA,NA,NA
508,Alnus glutinosa,30.76482476,20.195,NA,18.50012135,0.4064,1348.315944,NA,24.50701793,14,16.99334612
509,Alnus hirsuta,NA,NA,NA,12.4425476,NA,NA,NA,NA,12.4425476,NA
510,Alnus incana,30.66517206,11.48822222,NA,19.62352335,0.5048,NA,NA,17.58217777,21.73913043,19.54926184
511,Alnus incana subsp. rugosa,NA,4.8768,NA,NA,0.6096,NA,NA,NA,NA,NA
512,Alnus incana subsp. tenuifolia,NA,9.144,NA,NA,0.4572,NA,NA,NA,NA,NA
513,Alnus japonica,NA,30,NA,12.4180865,NA,NA,NA,NA,12.4180865,NA
514,Alnus maritima,NA,7.62,NA,NA,0.508,NA,NA,NA,NA,NA
515,Alnus oregoni,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
516,Alnus rhombifolia,33.6,22.575,NA,28.766,0.3048,NA,NA,28.766,NA,NA
517,Alnus rubra,23.13076923,21.336,NA,NA,0.635,NA,NA,NA,NA,NA
518,Alnus serrulata,NA,6.4008,NA,11.1425,0.6096,NA,NA,NA,11.1425,NA
519,Alnus sp,26.35066313,NA,NA,NA,NA,NA,NA,NA,NA,NA
520,Alocasia brisbanensis,NA,0.25,NA,46.7766991,NA,NA,NA,NA,46.7766991,46.7766991
521,Alocasia longiloba,35.3,0.737,NA,40.32258065,NA,NA,NA,40.32258065,40.32258065,NA
522,Alocasia macrorrhizos,29,1.74,NA,38.16793893,NA,NA,NA,38.16793893,38.16793893,NA
523,Alocasia odora,39,NA,NA,19.73,NA,NA,NA,NA,NA,19.73
524,Aloe maculata,NA,NA,NA,0.497512438,NA,NA,NA,NA,0.497512438,NA
525,Aloe pearsonii,NA,NA,NA,2.704164413,NA,NA,NA,NA,2.704164413,NA
526,Aloe thraskii,9.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
527,Aloe vera,NA,NA,NA,9.14,NA,NA,NA,NA,9.14,NA
528,Aloidendron ramosissimum,NA,NA,NA,2.102607233,NA,NA,NA,NA,2.102607233,NA
529,Alopecurus aequalis,NA,0.450666667,NA,24.62333333,0.1524,NA,NA,24.62333333,NA,NA
530,Alopecurus alpinus,10.23333333,NA,6.7,NA,NA,NA,NA,NA,NA,NA
531,Alopecurus apiatus,NA,0.548,NA,19.61734694,NA,NA,NA,19.61734694,NA,NA
532,Alopecurus arundinaceus,NA,0.7697,NA,NA,0.3048,NA,NA,NA,NA,NA
533,Alopecurus bulbosus,NA,0.3875,NA,NA,NA,NA,NA,NA,NA,NA
534,Alopecurus carolinianus,NA,0.51816,NA,NA,0.3048,NA,NA,NA,NA,NA
535,Alopecurus geniculatus,NA,0.419866667,NA,29.80242578,0.3048,NA,NA,36.37055556,NA,23.234296
536,Alopecurus magellanicus,NA,0.1524,NA,NA,0.1524,NA,NA,NA,NA,NA
537,Alopecurus myosuroides,NA,0.600346667,NA,28.7,0.3048,NA,NA,24.4,33,NA
538,Alopecurus pratensis,23.8325776,0.806266667,NA,25.19577824,0.3048,6768.443055,NA,27.854,NA,22.53755648
539,Alopecurus rendlei,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA
540,Alopecurus textilis,NA,0.1,NA,10.00625,NA,NA,NA,10.00625,NA,NA
541,Aloysia gratissima,NA,NA,NA,7.907311072,NA,NA,NA,NA,NA,7.907311072
542,Alphitonia excelsa,NA,27.5,NA,13.46407049,NA,NA,NA,NA,13.46407049,13.46407049
543,Alphitonia neocaledonica,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
544,Alphitonia petriei,NA,NA,NA,10.03241152,NA,NA,NA,13.35341365,6.711409396,NA
545,Alphonsea monogyna,16.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
546,Alpinia caerulea,NA,1.55,NA,12.41301787,NA,NA,NA,NA,12.41301787,12.41301787
547,Alpinia scabra,21.9,0.803,NA,21.00840336,NA,NA,NA,21.00840336,21.00840336,NA
548,Alseis blackiana,33.44912582,28.60437889,NA,18.49084493,NA,NA,NA,18.89587887,NA,18.08581099
549,Alseis labatioides,33.77036,NA,NA,21.57427778,NA,NA,NA,NA,21.57427778,NA
550,Alseodaphne hainanensis,13.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
551,Alstonia actinophylla,22.2493109,NA,NA,NA,NA,NA,NA,NA,NA,NA
552,Alstonia scholaris,NA,NA,NA,9.345794393,NA,NA,NA,NA,9.345794393,NA
553,Alternanthera nana,NA,0.125,NA,12.56309722,NA,NA,NA,NA,12.56309722,12.56309722
554,Alternanthera philoxeroides,NA,0.06096,NA,NA,0.254,NA,NA,NA,NA,NA
555,Alternanthera pumila,NA,NA,NA,7.807585037,NA,NA,NA,NA,NA,7.807585037
556,Alternanthera pungens,39,NA,NA,25.20763945,NA,NA,NA,26.66,22.3,26.66291835
557,Alternanthera sessilis,NA,0.3,NA,13.2,NA,NA,NA,NA,NA,13.2
558,Althaea officinalis,NA,1.0915,NA,23.545,NA,NA,NA,24.29,NA,22.8
559,Alysicarpus ovalifolius,23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
560,Alyssum alyssoides,NA,0.2025,NA,21.44833333,NA,NA,NA,NA,NA,21.44833333
561,Alyssum desertorum,NA,0.1,NA,27.17578947,NA,NA,NA,27.17578947,NA,NA
562,Alyssum linifolium,NA,0.1575,NA,13.25706833,NA,NA,NA,NA,11.4760911,15.03804555
563,Alyssum montanum,NA,0.085,NA,12.31333333,NA,NA,NA,NA,NA,12.31333333
564,Alyxia sp,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
565,Alyxia stellata,10.3,NA,NA,7.936507937,NA,NA,NA,7.936507937,NA,NA
566,Amaioua corymbosa,17.93114449,9.808,NA,14.84206668,NA,NA,NA,15.1419983,NA,14.54213506
567,Amaioua guianensis,22.07227794,14.66666667,NA,12.11810421,NA,NA,NA,NA,12.11810421,NA
568,Amaioua intermedia,16.3875,7,NA,9.493031406,NA,NA,NA,9.493031406,NA,NA
569,Amaranthus albus,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
570,Amaranthus blitoides,NA,0.4125,NA,18.14034279,NA,NA,NA,18.14068558,18.14,NA
571,Amaranthus blitum,NA,0.6125,NA,37.31,NA,NA,NA,37.80666667,NA,36.81333333
572,Amaranthus californicus,NA,0.3048,NA,NA,0.1016,NA,NA,NA,NA,NA
573,Amaranthus cannabinus,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
574,Amaranthus caudatus,NA,0.841666667,NA,19.67,NA,NA,NA,NA,NA,19.67
575,Amaranthus crispus,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA
576,Amaranthus deflexus,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA
577,Amaranthus graecizans,NA,0.5625,NA,NA,NA,NA,NA,NA,NA,NA
578,Amaranthus hybridus,NA,0.725,NA,NA,NA,NA,NA,NA,NA,NA
579,Amaranthus palmeri,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
580,Amaranthus powellii,NA,0.79375,NA,NA,NA,NA,NA,NA,NA,NA
581,Amaranthus retroflexus,34.5,0.7165,NA,16.46208489,NA,NA,NA,16.00792135,16.96,16.41833333
582,Amaranthus standleyanus,NA,0.575,NA,NA,NA,NA,NA,NA,NA,NA
583,Amaranthus tuberculatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
584,Ambelania occidentalis,21.100855,10,NA,8.682453521,NA,NA,NA,NA,8.682453521,NA
585,Amblygonocarpus andongensis,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
